United Kingdom,London,Manchester,Edinburgh,Birmingham,Glasgow,Liverpool,Bristol,Oxford,Cambridge,York
France,Paris,Marseille,Lyon,Toulouse,Nice,Bordeaux,Lille,Nantes,Strasbourg,Montpellier
Italy,Rome,Milan,Naples,Turin,Palermo,Genoa,Bologna,Florence,Venice,Verona
Spain,Madrid,Barcelona,Valencia,Seville,Zaragoza,Málaga,Murcia,Palma,Bilbao,Alicante
Germany,Berlin,Hamburg,Munich,Cologne,Frankfurt,Stuttgart,Düsseldorf,Dortmund,Essen,Leipzig
Netherlands,Amsterdam,Rotterdam,The Hague,Utrecht,Eindhoven,Tilburg,Groningen,Almere,Breda,Nijmegen
Greece,Athens,Thessaloniki,Patras,Heraklion,Larissa,Volos,Ioannina,Chania,Chalcis,Rethymno
Czech Republic,Prague,Brno,Ostrava,Plzeň,Liberec,Olomouc,České Budějovice,Hradec Králové,Ústí nad Labem,Pardubice
Austria,Vienna,Graz,Linz,Salzburg,Innsbruck,Klagenfurt,Villach,Wels,Sankt Pölten,Dornbirn
Portugal,Lisbon,Porto,Vila Nova de Gaia,Amadora,Braga,Funchal,Coimbra,Setúbal,Queluz,Aveiro
Ireland,Dublin,Cork,Limerick,Galway,Waterford,Drogheda,Dundalk,Bray,Swords,Navan
Norway,Oslo,Bergen,Trondheim,Stavanger,Drammen,Fredrikstad,Kristiansand,Sandnes,Tromsø,Sarpsborg
Sweden,Stockholm,Gothenburg,Malmö,Uppsala,Västerås,Örebro,Linköping,Helsingborg,Jönköping,Norrköping
Denmark,Copenhagen,Aarhus,Odense,Aalborg,Esbjerg,Randers,Kolding,Horsens,Vejle,Roskilde
Finland,Helsinki,Espoo,Tampere,Vantaa,Oulu,Turku,Jyväskylä,Lahti,Kuopio,Pori
Belgium,Brussels,Antwerp,Ghent,Charleroi,Liège,Bruges,Namur,Leuven,Mons,Aalst
Hungary,Budapest,Debrecen,Szeged,Miskolc,Pécs,Győr,Nyíregyháza,Kecskemét,Székesfehérvár,Szombathely
Poland,Warsaw,Kraków,Łódź,Wrocław,Poznań,Gdańsk,Szczecin,Bydgoszcz,Lublin,Katowice
Switzerland,Zurich,Geneva,Basel,Lausanne,Bern,Winterthur,Lucerne,St. Gallen,Lugano,Biel/Bienne
Turkey,Istanbul,Ankara,İzmir,Bursa,Adana,Gaziantep,Konya,Antalya,Mersin,Kayseri
